,转债代码,转债余额,申购日期,债券简称,股票代码,正股简称,转股价格,纯债价值,bond_nm,price,stock_id,stock_nm,redeem_dt,volume,评级,redeem_icon,强赎修正,ATR,ma20,ma5,K,D,slope,macd,cci,yj_bias,ATR1,ma201,ma51,K1,D1,SLOPE1,macd1,cci1,yj_bias1,VIX11,zzzf,zgzf,zfc,zfc5,zfc10,正股趋势,正股综合分,转债价格,转债涨跌幅,股价,正股涨跌幅,转股价值,转股溢价率,amount,amount1,转债换手率,转债换手率1,距离转股日,剩余期限,vix,多权价值,期权价值,内在价值,价值溢价,MA20乖离,MA5乖离,绝对乖离,涨幅对标,双低分数,传统双低,五因子分数,强势分数,多因子V1.1,综合分数,溢值分数
265,sz127069,5.36,2022-08-12,小熊转债,sz002959,小熊电器,55.23, 86.42,小熊转债,127.759,002959,小熊电器,暂无提示,2945.41,AA-,,0,1.9654,50.4830,49.0600,62.4316,53.2168,-0.0984,-0.0557,29.9399,0.0000,2.0382,50.6535,48.3320,54.9464,41.7755,-0.1858,-0.1707,15.8304,0.0000,0.0226,0.1028,-0.0675,0.0398,-0.0299,0.0349,跌减缓,4,126.89,-0.68,49.84,-0.58,90.2408,0.406127,0.658247,3.60366,1.22807,3.36162,2108,2108,0.0226,15.6665,15.6665,102.086,0.242966,-0.01273696095715382,0.01589889930697108,0.01273696095715382,0.0398,0.491619,0.172372,0.456342,0.40168,0.488034,0.506803,0.459163
266,sh113045,34.499,2021-03-04,环旭转债,sh601231,环旭电子,19.52, 97.33,环旭转债,121.313,601231,环旭电子,暂无提示,9323.32,AA+,,0,0.6002,15.7115,16.4200,92.3050,90.2115,0.1186,0.2837,165.5197,-0.2431,0.6224,15.7200,16.0320,88.7630,82.1356,0.0778,0.2526,222.1752,-1.0866,0.0207,0.0930,0.0126,-0.0344,-0.0445,-0.0817,上涨中,6,120.162,-0.95,16.89,0,86.5266,0.388728,5.18174,14.5051,1.502,2.10224,1582,1582,0.0207,12.2425,12.2425,109.573,0.0966437,0.07500875155141151,0.02862362971985366,0.07500875155141151,-0.0344,0.694377,0.509109,0.754525,0.6452,0.696384,0.506373,0.643344
267,sz127015,9.495,2020-01-03,希望转债,sz000876,新希望,19.66, 99.58,希望转债,115.56,000876,新希望,暂无提示,1577.0,AAA,,0,0.4050,14.4695,14.7580,79.6126,80.9894,0.0807,0.1007,100.9413,-0.2211,0.4200,14.5100,14.6840,79.4687,82.8788,0.0624,0.0944,91.1116,-0.2211,0.0160,0.0563,-0.0371,0.0172,0.0052,-0.0434,上涨中,6,115.279,-0.24,14.81,0,75.3306,0.530307,0.868735,2.44573,0.914939,1.28791,1156,1156,0.016,4.41097,4.41097,103.991,0.108548,0.023532257507170362,0.0035235126710937426,0.023532257507170362,0.0172,0.520168,0.504265,0.609794,0.489003,0.655897,0.506271,0.603961
268,sz127054,5.136,2022-02-11,双箭转债,sz002381,双箭股份,7.71, 95.44,双箭转债,116.38,002381,双箭股份,暂无提示,468.59,AA,,0,0.1522,5.8095,5.8160,92.2004,81.1252,0.0013,0.0488,105.6169,0.5093,0.1579,5.8280,5.7480,84.4167,65.9500,-0.0130,0.0374,74.3692,-0.0357,0.0138,0.0478,-0.0467,0.0479,-0.0279,-0.0292,均线金叉,7,115.94,-0.38,5.91,-0.17,76.6537,0.512517,0.0920378,0.560628,0.179201,0.545783,1926,1926,0.0138,3.52595,3.52595,98.966,0.171514,0.017299251226439605,0.016162310866574936,0.017299251226439605,0.0479,0.452542,0.368637,0.542362,0.395635,0.599389,0.505892,0.533516
269,sh118007,2.674,2022-03-22,山石转债,sh688030,山石网科,24.52, 83.48,山石转债,135.636,688030,山石网科,暂无提示,109818.0,A+,,0,0.7715,19.4815,20.3640,97.8495,89.7728,0.1463,0.3544,177.8391,0.4536,0.8000,19.4340,19.8060,90.7164,75.7849,0.0896,0.3069,212.1826,0.4536,0.0237,0.1661,0.0352,0.0321,0.0290,0.0246,上涨中,6,134.771,-0.64,20.92,-1.09,85.3181,0.579629,15.0076,124.826,56.124,233.406,1965,1965,0.0237,13.8953,13.8953,97.3753,0.384036,0.07383928342273438,0.02730308387350222,0.07383928342273438,0.0321,0.616891,0.0454225,0.589772,0.463309,0.582254,0.505822,0.591129
270,sz123151,7.0,2022-07-01,康医转债,sz300869,康泰医学,28.22, 82.56,康医转债,119.0,300869,康泰医学,暂无提示,2281.66,A+,,0,0.7193,21.9650,22.4640,89.7146,85.6819,0.1325,0.3544,158.8730,0.2986,0.7460,22.0215,21.9540,89.6256,73.6001,0.0611,0.3026,201.3398,-0.6032,0.0183,0.0776,-0.0264,0.0079,-0.0470,-0.0580,均线金叉,7,119.212,0.18,23.41,0.82,82.9554,0.437062,1.3626,3.64426,1.94657,2.60304,2066,2066,0.0183,8.77984,8.77984,91.3398,0.305148,0.0657864784885045,0.0421118233618234,0.0657864784885045,0.0079,0.570004,0.110038,0.662059,0.400311,0.720066,0.505184,0.501378
271,sz123150,11.39,2022-06-30,九强转债,sz300406,九强生物,17.63, 83.04,九强转债,130.273,300406,九强生物,暂无提示,8947.67,AA-,,0,0.6451,17.0445,17.1560,67.3451,65.1607,0.1094,0.1539,127.8373,0.4261,0.6690,17.1215,16.8640,64.5535,60.0165,0.0632,0.1217,163.1709,0.2080,0.0239,0.1104,-0.0878,0.0899,0.0096,-0.0286,均线金叉,7,131.5,0.94,17.53,-0.11,99.4328,0.322501,4.13043,13.0781,3.62636,5.74104,2065,2065,0.0239,22.137,22.137,105.177,0.250273,0.028484261785326703,0.021799953369083802,0.028484261785326703,0.0899,0.398565,0.137805,0.457025,0.350596,0.607406,0.503801,0.452677
272,sh113052,499.987,2021-12-27,兴业转债,sh601166,兴业银行,24.48, 96.97,兴业转债,106.073,601166,兴业银行,暂无提示,9989.63,AAA,,0,0.3077,16.8385,16.4700,48.8506,40.0494,-0.0469,-0.0114,-42.6009,0.7067,0.3191,16.8915,16.4300,38.4732,29.7025,-0.0581,-0.0252,-52.5545,0.3452,0.0139,0.0359,-0.0489,0.0256,-0.0007,0.0095,跌减缓,4,105.76,-0.3,16.56,0.18,67.6471,0.563409,17.503,27.4926,0.350068,0.274933,1880,1880,0.0139,1.59296,1.59296,98.563,0.0730198,-0.016539477982005613,0.005464480874316946,0.016539477982005613,0.0256,0.497803,0.618775,0.475202,0.476511,0.543969,0.502797,0.471455
273,sh110072,33.662,2020-08-18,广汇转债,sh600297,广汇汽车,4.03, 100.81,广汇转债,97.957,600297,广汇汽车,暂无提示,2082.77,AA+,,0,0.0491,2.2135,2.2120,90.2357,79.1159,0.0012,0.0168,96.6123,0.2678,0.0509,2.2200,2.2000,78.4512,64.8256,-0.0028,0.0147,68.0334,-0.1482,0.0133,0.0294,-0.0470,0.0342,0.0000,-0.0263,上涨中,6,97.907,-0.05,2.22,-0.45,55.0868,0.777321,2.29621,4.37898,0.682136,0.650433,1384,1384,0.0133,0.256219,0.256219,101.066,-0.0312589,0.0029365258640163816,0.003616636528029016,0.0029365258640163816,0.0342,0.472119,0.871457,0.529508,0.504894,0.548998,0.502256,0.554313
274,sh113535,4.996,2019-05-09,大业转债,sh603278,大业股份,12.29, 105.61,大业转债,114.143,603278,大业股份,暂无提示,1990.52,AA,,0,0.2346,7.6095,7.7040,95.7742,89.2758,0.0190,0.0633,118.5331,0.1933,0.2432,7.6315,7.6460,89.1516,78.3282,0.0072,0.0569,114.8696,0.0006,0.0234,0.0313,-0.0490,0.0583,0.0056,-0.0266,上涨中,6,113.651,-0.43,7.9,1.8,64.2799,0.768064,0.526741,2.51726,1.05433,2.51928,917,917,0.0234,5.04541,5.04541,110.655,0.0270713,0.038175964255207306,0.02544132917964692,0.038175964255207306,0.0583,0.385579,0.682974,0.525534,0.434642,0.527523,0.501847,0.630866
